Job_ID,Role
JD001,Python Data Analyst
JD002,Frontend Developer
JD003,AI/ML Engineer
JD004,Full Stack Developer
JD005,Java Developer
JD006,Data Scientist
JD007,DevOps Engineer
JD008,Software Testing Engineer
JD009,HR Executive
JD010,Recruiter
JD011,Marketing Executive
JD012,Sales Executive
JD013,Business Analyst
JD014,Customer Support Executive
JD015,Content Writer
JD016,Graphic Designer
JD017,Operations Executive
JD018,Finance Analyst
JD019,Project Coordinator
JD020,Administrative Assistant
JD021,UI/UX Designer
JD022,Cloud Engineer
JD023,Cybersecurity Analyst
JD024,Mobile App Developer
JD025,Database Administrator
